"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 28, 2018","154.00","154.00","154.00","154.00","-","0.30%"
"Sep 27, 2018","153.54","153.54","153.54","153.54","-","-0.35%"
"Sep 26, 2018","154.08","154.08","154.08","154.08","-","-1.49%"
"Sep 25, 2018","156.41","156.41","156.41","156.41","-","0.81%"
"Sep 24, 2018","155.15","155.15","155.15","155.15","-","0.43%"
"Sep 21, 2018","154.49","154.49","154.49","154.49","-","-1.44%"
"Sep 20, 2018","156.74","156.74","156.74","156.74","-","-1.15%"
"Sep 19, 2018","158.57","158.57","158.57","158.57","-","-0.15%"
"Sep 18, 2018","158.81","158.81","158.81","158.81","-","-0.03%"
"Sep 17, 2018","158.85","158.85","158.85","158.85","-","-0.92%"
"Sep 14, 2018","160.32","160.32","160.32","160.32","-","-1.31%"
"Sep 13, 2018","162.44","162.44","162.44","162.44","-","2.44%"
"Sep 12, 2018","158.57","158.57","158.57","158.57","-","-0.28%"
"Sep 11, 2018","159.01","159.01","159.01","159.01","-","1.30%"
"Sep 10, 2018","156.97","156.97","156.97","156.97","-","1.55%"
"Sep 06, 2018","154.57","154.57","154.57","154.57","-","-2.68%"
"Sep 05, 2018","158.83","158.83","158.83","158.83","-","-0.21%"
"Sep 04, 2018","159.17","159.17","159.17","159.17","-","0.29%"
"Sep 03, 2018","158.71","158.71","158.71","158.71","-","1.09%"
"Aug 31, 2018","157.00","157.00","157.00","157.00","-","-0.78%"
"Aug 30, 2018","158.24","158.24","158.24","158.24","-","0.10%"
"Aug 29, 2018","158.08","158.08","158.08","158.08","-","-0.03%"
"Aug 28, 2018","158.12","158.12","158.12","158.12","-","-0.03%"
"Aug 27, 2018","158.16","158.16","158.16","158.16","-","0.49%"
"Aug 24, 2018","157.39","157.39","157.39","157.39","-","1.07%"
"Aug 23, 2018","155.73","155.73","155.73","155.73","-","0.36%"
"Aug 22, 2018","155.17","155.17","155.17","155.17","-","1.22%"
"Aug 21, 2018","153.30","153.30","153.30","153.30","-","1.50%"
"Aug 20, 2018","151.03","151.03","151.03","151.03","-","2.39%"
"Aug 17, 2018","147.51","147.51","147.51","147.51","-","0.01%"
"Aug 16, 2018","147.50","147.50","147.50","147.50","-","-0.09%"
"Aug 15, 2018","147.63","147.63","147.63","147.63","-","-0.23%"
"Aug 14, 2018","147.97","147.97","147.97","147.97","-","-1.03%"
"Aug 13, 2018","149.51","149.51","149.51","149.51","-","-0.03%"
"Aug 10, 2018","149.55","149.55","149.55","149.55","-","1.33%"
"Aug 09, 2018","147.58","147.58","147.58","147.58","-","0.04%"
"Aug 08, 2018","147.52","147.52","147.52","147.52","-","0.25%"
"Aug 07, 2018","147.15","147.15","147.15","147.15","-","2.07%"
"Aug 06, 2018","144.17","144.17","144.17","144.17","-","-0.03%"
"Aug 03, 2018","144.21","144.21","144.21","144.21","-","-2.40%"
"Aug 02, 2018","147.76","147.76","147.76","147.76","-","0.59%"
"Aug 01, 2018","146.89","146.89","146.89","146.89","-","0.54%"
"Jul 31, 2018","146.10","146.10","146.10","146.10","-","-0.30%"
"Jul 30, 2018","146.54","146.54","146.54","146.54","-","1.02%"
"Jul 27, 2018","145.06","145.06","145.06","145.06","-","-0.72%"
"Jul 26, 2018","146.11","146.11","146.11","146.11","-","1.37%"
"Jul 25, 2018","144.14","144.14","144.14","144.14","-","-2.36%"
"Jul 24, 2018","147.63","147.63","147.63","147.63","-","-0.20%"
"Jul 23, 2018","147.92","147.92","147.92","147.92","-","-0.83%"
"Jul 20, 2018","149.16","149.16","149.16","149.16","-","-1.41%"
"Jul 19, 2018","151.30","151.30","151.30","151.30","-","0.61%"
"Jul 18, 2018","150.38","150.38","150.38","150.38","-","-0.32%"
"Jul 17, 2018","150.87","150.87","150.87","150.87","-","-1.66%"
"Jul 16, 2018","153.41","153.41","153.41","153.41","-","-0.61%"
"Jul 13, 2018","154.35","154.35","154.35","154.35","-","-0.68%"
"Jul 12, 2018","155.40","155.40","155.40","155.40","-","0.56%"
"Jul 11, 2018","154.53","154.53","154.53","154.53","-","0.17%"
"Jul 10, 2018","154.27","154.27","154.27","154.27","-","0.41%"
"Jul 06, 2018","153.64","153.64","153.64","153.64","-","-3.80%"
"Jul 05, 2018","159.71","159.71","159.71","159.71","-","0.93%"
"Jul 04, 2018","158.24","158.24","158.24","158.24","-","2.22%"
"Jul 03, 2018","154.81","154.81","154.81","154.81","-","-2.22%"
"Jul 02, 2018","158.32","158.32","158.32","158.32","-","1.07%"
"Jun 29, 2018","156.65","156.65","156.65","156.65","-","0.20%"
"Jun 28, 2018","156.34","156.34","156.34","156.34","-","-0.14%"
"Jun 27, 2018","156.56","156.56","156.56","156.56","-","1.26%"
"Jun 26, 2018","154.61","154.61","154.61","154.61","-","-0.67%"
"Jun 25, 2018","155.65","155.65","155.65","155.65","-","-1.57%"
"Jun 22, 2018","158.14","158.14","158.14","158.14","-","1.68%"
"Jun 21, 2018","155.53","155.53","155.53","155.53","-","-1.48%"
"Jun 20, 2018","157.87","157.87","157.87","157.87","-","-1.22%"
"Jun 19, 2018","159.82","159.82","159.82","159.82","-","2.35%"
"Jun 18, 2018","156.15","156.15","156.15","156.15","-","-0.15%"
"Jun 15, 2018","156.39","156.39","156.39","156.39","-","-3.74%"
"Jun 14, 2018","162.47","162.47","162.47","162.47","-","2.52%"
"Jun 13, 2018","158.47","158.47","158.47","158.47","-","-0.03%"
"Jun 12, 2018","158.51","158.51","158.51","158.51","-","0.61%"
"Jun 11, 2018","157.55","157.55","157.55","157.55","-","-0.28%"
"Jun 08, 2018","157.99","157.99","157.99","157.99","-","-3.47%"
"Jun 07, 2018","163.67","163.67","163.67","163.67","-","2.26%"
"Jun 06, 2018","160.06","160.06","160.06","160.06","-","1.17%"
"Jun 05, 2018","158.21","158.21","158.21","158.21","-","1.53%"
"Jun 04, 2018","155.83","155.83","155.83","155.83","-","-0.28%"
"Jun 01, 2018","156.27","156.27","156.27","156.27","-","0.04%"
"May 30, 2018","156.20","156.20","156.20","156.20","-","0.10%"
"May 29, 2018","156.04","156.04","156.04","156.04","-","1.73%"
"May 28, 2018","153.38","153.38","153.38","153.38","-","0.70%"
"May 25, 2018","152.31","152.31","152.31","152.31","-","-0.55%"
"May 24, 2018","153.15","153.15","153.15","153.15","-","0.63%"
"May 23, 2018","152.19","152.19","152.19","152.19","-","1.24%"
"May 22, 2018","150.32","150.32","150.32","150.32","-","-2.24%"
"May 21, 2018","153.76","153.76","153.76","153.76","-","-1.00%"
"May 18, 2018","155.31","155.31","155.31","155.31","-","0.83%"
"May 17, 2018","154.03","154.03","154.03","154.03","-","0.66%"
"May 16, 2018","153.02","153.02","153.02","153.02","-","-0.25%"
"May 15, 2018","153.41","153.41","153.41","153.41","-","-0.80%"
"May 14, 2018","154.65","154.65","154.65","154.65","-","2.10%"
"May 11, 2018","151.47","151.47","151.47","151.47","-","0.64%"
"May 10, 2018","150.51","150.51","150.51","150.51","-","-0.69%"
"May 09, 2018","151.55","151.55","151.55","151.55","-","0.30%"
"May 08, 2018","151.09","151.09","151.09","151.09","-","0.65%"
"May 07, 2018","150.12","150.12","150.12","150.12","-","0.33%"
"May 04, 2018","149.63","149.63","149.63","149.63","-","-0.04%"
"May 03, 2018","149.69","149.69","149.69","149.69","-","0.65%"
"May 02, 2018","148.73","148.73","148.73","148.73","-","0.83%"
"Apr 30, 2018","147.50","147.50","147.50","147.50","-","0.04%"
"Apr 27, 2018","147.44","147.44","147.44","147.44","-","-0.43%"
"Apr 26, 2018","148.07","148.07","148.07","148.07","-","-0.83%"
"Apr 25, 2018","149.31","149.31","149.31","149.31","-","0.31%"
"Apr 24, 2018","148.85","148.85","148.85","148.85","-","1.83%"
"Apr 23, 2018","146.18","146.18","146.18","146.18","-","-0.03%"
"Apr 20, 2018","146.22","146.22","146.22","146.22","-","-0.23%"
"Apr 19, 2018","146.55","146.55","146.55","146.55","-","0.66%"
"Apr 18, 2018","145.59","145.59","145.59","145.59","-","-1.25%"
"Apr 17, 2018","147.43","147.43","147.43","147.43","-","-0.63%"
"Apr 16, 2018","148.37","148.37","148.37","148.37","-","-0.02%"
"Apr 13, 2018","148.40","148.40","148.40","148.40","-","1.35%"
"Apr 12, 2018","146.43","146.43","146.43","146.43","-","-0.37%"
"Apr 11, 2018","146.98","146.98","146.98","146.98","-","0.33%"
"Apr 10, 2018","146.50","146.50","146.50","146.50","-","-0.03%"
"Apr 09, 2018","146.54","146.54","146.54","146.54","-","0.67%"
"Apr 06, 2018","145.56","145.56","145.56","145.56","-","2.44%"
"Apr 05, 2018","142.09","142.09","142.09","142.09","-","-1.28%"
"Apr 04, 2018","143.93","143.93","143.93","143.93","-","0.40%"
